id_medicion,numero_serie,tipo_dispositivo,fecha_hora,valores_medidos,rssi,snr,contador_mensajes
29,712abda5b3,Caudalímetro,2026-07-09 00:44:11.756527,"{""caudal"": 420.8, ""bateria"": 69.5}",-94.7,6.1,29
340,9ce3c5dee8,Estación meteorológica,2026-07-09 01:03:12.094215,"{""bateria"": 98.7, ""temperatura"": 31.6, ""precipitaciones"": 0.9, ""radiacion_solar"": 763.1, ""humedad_relativa"": 46.3, ""velocidad_viento"": 58.2}",-92.2,-1.6,340
294,712abda5b3,Caudalímetro,2026-07-09 02:18:12.048354,"{""caudal"": 392.0, ""bateria"": 47.2}",-91.0,-14.6,294
15,d98ddb94bf,Sonda de humedad,2026-07-09 03:55:11.740262,"{""bateria"": 81.2, ""humedad_suelo"": 58.0, ""temperatura_suelo"": 11.4, ""conductividad_electrica"": 1.41}",-112.5,-1.0,15
244,67706f475d,Sonda de humedad,2026-07-09 04:56:12.001708,"{""bateria"": 70.6, ""humedad_suelo"": 23.1, ""temperatura_suelo"": 20.1, ""conductividad_electrica"": 0.96}",-105.7,-14.3,244
690,5a77a4baa3,Estación meteorológica,2026-07-09 05:04:12.534470,"{""bateria"": 55.5, ""temperatura"": 33.0, ""precipitaciones"": 2.3, ""radiacion_solar"": 788.4, ""humedad_relativa"": 43.0, ""velocidad_viento"": 48.8}",-63.0,1.6,690
354,b2fae9ff3a,Estación meteorológica,2026-07-09 05:14:12.108146,"{""bateria"": 92.2, ""temperatura"": 10.2, ""precipitaciones"": 9.3, ""radiacion_solar"": 193.7, ""humedad_relativa"": 39.1, ""velocidad_viento"": 55.4}",-94.0,-10.5,354
369,67706f475d,Sonda de humedad,2026-07-09 05:31:12.122385,"{""bateria"": 22.6, ""humedad_suelo"": 11.8, ""temperatura_suelo"": 31.0, ""conductividad_electrica"": 0.73}",-105.9,0.3,369
773,d98ddb94bf,Sonda de humedad,2026-07-09 06:10:12.610444,"{""bateria"": 74.6, ""humedad_suelo"": 29.9, ""temperatura_suelo"": 13.2, ""conductividad_electrica"": 2.5}",-82.9,-18.1,773
588,9ce3c5dee8,Estación meteorológica,2026-07-09 07:06:12.434581,"{""bateria"": 47.8, ""temperatura"": 11.0, ""precipitaciones"": 3.0, ""radiacion_solar"": 935.4, ""humedad_relativa"": 93.9, ""velocidad_viento"": 14.2}",-86.3,8.9,588
630,9ce3c5dee8,Estación meteorológica,2026-07-09 07:56:12.477295,"{""bateria"": 81.9, ""temperatura"": 33.0, ""precipitaciones"": 11.7, ""radiacion_solar"": 123.9, ""humedad_relativa"": 59.2, ""velocidad_viento"": 43.9}",-81.9,1.4,630
552,5a77a4baa3,Estación meteorológica,2026-07-09 10:11:12.397307,"{""bateria"": 90.7, ""temperatura"": -3.8, ""precipitaciones"": 11.2, ""radiacion_solar"": 176.3, ""humedad_relativa"": 58.4, ""velocidad_viento"": 37.9}",-76.8,-11.9,552
55,5a77a4baa3,Estación meteorológica,2026-07-09 10:23:11.786995,"{""bateria"": 73.4, ""temperatura"": 3.6, ""precipitaciones"": 5.2, ""radiacion_solar"": 762.8, ""humedad_relativa"": 92.2, ""velocidad_viento"": 35.1}",-67.5,5.2,55
295,d98ddb94bf,Sonda de humedad,2026-07-09 11:38:12.049200,"{""bateria"": 72.5, ""humedad_suelo"": 33.9, ""temperatura_suelo"": 23.1, ""conductividad_electrica"": 0.73}",-72.3,-12.5,295
443,fd0b6a02b5,Caudalímetro,2026-07-09 11:59:12.191922,"{""caudal"": 71.8, ""bateria"": 53.6}",-66.6,-10.9,443
